"","Time.S","Plate","Size"
"1",0,"A1",29380
"2",836.5,"A1",32467
"3",1673,"A1",36844
"4",2512.5,"A1",42758
"5",3349,"A1",49977
"6",4185.5,"A1",57764
"7",5022,"A1",67462
"8",5858.5,"A1",78406
"9",6694.9,"A1",92986
"10",7531.4,"A1",110728
"11",8367.9,"A1",131390
"12",9204.4,"A1",156541
"13",10040.8,"A1",184603
"14",10877.3,"A1",214939
"15",11713.8,"A1",245035
"16",12550.3,"A1",273306
"17",13386.7,"A1",301682
"18",14223.2,"A1",326538
"19",15059.7,"A1",347742
"20",15896.2,"A1",364247
"21",16732.6,"A1",388794
"22",17569.1,"A1",401487
"23",18405.6,"A1",415942
"24",19242.1,"A1",424174
"25",20078.5,"A1",438122
"26",20915,"A1",444648
"27",21751.5,"A1",450349
"28",22588,"A1",462416
"29",23424.5,"A1",467104
"30",24260.9,"A1",474799
"31",25097.4,"A1",477076
"32",25933.9,"A1",484538
"33",26770.4,"A1",492065
"34",27606.8,"A1",494450
"35",28443.3,"A1",500995
"36",29279.8,"A1",506698
"37",30116.3,"A1",509975
"38",30952.8,"A1",511089
"39",31789.2,"A1",517918
"40",32625.7,"A1",518709
"41",33462.2,"A1",521191
"42",34298.6,"A1",525045
"43",35135.1,"A1",530101
"44",35971.6,"A1",529935
"45",36808.1,"A1",529039
"46",37644.5,"A1",536125
"47",38481,"A1",534695
"48",39317.5,"A1",534545
"49",40154,"A1",534917
"50",40990.4,"A1",534548
"51",41826.9,"A1",533421
"52",42663.4,"A1",538832
"53",43499.9,"A1",537759
"54",44336.4,"A1",543098
"55",45172.8,"A1",548837
"56",46009.3,"A1",552584
"57",46845.8,"A1",555535
"58",47682.3,"A1",559526
"59",48518.8,"A1",560740
"60",49355.2,"A1",555987
"61",50191.7,"A1",556563
"62",51028.2,"A1",558979
"63",51864.7,"A1",556418
"64",52701.2,"A1",560076
"65",53537.6,"A1",560871
"66",54374.1,"A1",560996
"67",55210.6,"A1",559209
"68",56047.1,"A1",563162
"69",56883.5,"A1",561661
"70",57720,"A1",561887
"71",58556.5,"A1",564462
"72",59393,"A1",565248
"73",0,"A2",31395
"74",836.5,"A2",34640
"75",1673,"A2",39168
"76",2512.5,"A2",44926
"77",3349,"A2",52678
"78",4185.5,"A2",61360
"79",5022,"A2",72295
"80",5858.5,"A2",85185
"81",6694.9,"A2",102440
"82",7531.4,"A2",121757
"83",8367.9,"A2",144958
"84",9204.4,"A2",171927
"85",10040.8,"A2",201548
"86",10877.3,"A2",232772
"87",11713.8,"A2",262051
"88",12550.3,"A2",290569
"89",13386.7,"A2",317608
"90",14223.2,"A2",338877
"91",15059.7,"A2",356135
"92",15896.2,"A2",369813
"93",16732.6,"A2",395040
"94",17569.1,"A2",403151
"95",18405.6,"A2",413352
"96",19242.1,"A2",422747
"97",20078.5,"A2",432019
"98",20915,"A2",438486
"99",21751.5,"A2",442225
"100",22588,"A2",454504
"101",23424.5,"A2",460784
"102",24260.9,"A2",467019
"103",25097.4,"A2",468977
"104",25933.9,"A2",476325
"105",26770.4,"A2",482308
"106",27606.8,"A2",489350
"107",28443.3,"A2",492278
"108",29279.8,"A2",501566
"109",30116.3,"A2",505761
"110",30952.8,"A2",510710
"111",31789.2,"A2",517401
"112",32625.7,"A2",521545
"113",33462.2,"A2",525191
"114",34298.6,"A2",532108
"115",35135.1,"A2",535756
"116",35971.6,"A2",537714
"117",36808.1,"A2",542614
"118",37644.5,"A2",543540
"119",38481,"A2",548380
"120",39317.5,"A2",552538
"121",40154,"A2",550427
"122",40990.4,"A2",552627
"123",41826.9,"A2",554308
"124",42663.4,"A2",560405
"125",43499.9,"A2",563687
"126",44336.4,"A2",570340
"127",45172.8,"A2",573663
"128",46009.3,"A2",579832
"129",46845.8,"A2",585228
"130",47682.3,"A2",584648
"131",48518.8,"A2",589620
"132",49355.2,"A2",587082
"133",50191.7,"A2",591898
"134",51028.2,"A2",590732
"135",51864.7,"A2",590340
"136",52701.2,"A2",596159
"137",53537.6,"A2",594341
"138",54374.1,"A2",597724
"139",55210.6,"A2",597480
"140",56047.1,"A2",602332
"141",56883.5,"A2",599648
"142",57720,"A2",602736
"143",58556.5,"A2",607284
"144",59393,"A2",605810
"145",0,"A3",25284
"146",836.5,"A3",27790
"147",1673,"A3",31963
"148",2512.5,"A3",36510
"149",3349,"A3",42823
"150",4185.5,"A3",49902
"151",5022,"A3",58892
"152",5858.5,"A3",69799
"153",6694.9,"A3",83091
"154",7531.4,"A3",100124
"155",8367.9,"A3",120754
"156",9204.4,"A3",143522
"157",10040.8,"A3",171314
"158",10877.3,"A3",201985
"159",11713.8,"A3",229388
"160",12550.3,"A3",256274
"161",13386.7,"A3",281765
"162",14223.2,"A3",303325
"163",15059.7,"A3",320564
"164",15896.2,"A3",337238
"165",16732.6,"A3",358580
"166",17569.1,"A3",368555
"167",18405.6,"A3",381272
"168",19242.1,"A3",389711
"169",20078.5,"A3",401181
"170",20915,"A3",410301
"171",21751.5,"A3",414200
"172",22588,"A3",424711
"173",23424.5,"A3",431320
"174",24260.9,"A3",437621
"175",25097.4,"A3",440650
"176",25933.9,"A3",447255
"177",26770.4,"A3",453784
"178",27606.8,"A3",459174
"179",28443.3,"A3",461395
"180",29279.8,"A3",466609
"181",30116.3,"A3",474137
"182",30952.8,"A3",474391
"183",31789.2,"A3",479555
"184",32625.7,"A3",481325
"185",33462.2,"A3",485035
"186",34298.6,"A3",489363
"187",35135.1,"A3",490259
"188",35971.6,"A3",492957
"189",36808.1,"A3",493190
"190",37644.5,"A3",495048
"191",38481,"A3",492546
"192",39317.5,"A3",495293
"193",40154,"A3",497397
"194",40990.4,"A3",495804
"195",41826.9,"A3",494375
"196",42663.4,"A3",500483
"197",43499.9,"A3",503130
"198",44336.4,"A3",508045
"199",45172.8,"A3",509206
"200",46009.3,"A3",512430
"201",46845.8,"A3",516432
"202",47682.3,"A3",518916
"203",48518.8,"A3",518598
"204",49355.2,"A3",518850
"205",50191.7,"A3",521170
"206",51028.2,"A3",520483
"207",51864.7,"A3",519758
"208",52701.2,"A3",518987
"209",53537.6,"A3",520382
"210",54374.1,"A3",521343
"211",55210.6,"A3",520779
"212",56047.1,"A3",524119
"213",56883.5,"A3",522855
"214",57720,"A3",523632
"215",58556.5,"A3",527692
"216",59393,"A3",529263
"217",0,"A4",27134
"218",836.5,"A4",29972
"219",1673,"A4",34322
"220",2512.5,"A4",39362
"221",3349,"A4",46009
"222",4185.5,"A4",53946
"223",5022,"A4",63550
"224",5858.5,"A4",75307
"225",6694.9,"A4",89838
"226",7531.4,"A4",108645
"227",8367.9,"A4",129911
"228",9204.4,"A4",154678
"229",10040.8,"A4",183001
"230",10877.3,"A4",213780
"231",11713.8,"A4",244185
"232",12550.3,"A4",269201
"233",13386.7,"A4",296546
"234",14223.2,"A4",318638
"235",15059.7,"A4",337811
"236",15896.2,"A4",353594
"237",16732.6,"A4",375291
"238",17569.1,"A4",385505
"239",18405.6,"A4",399574
"240",19242.1,"A4",408578
"241",20078.5,"A4",418675
"242",20915,"A4",430079
"243",21751.5,"A4",433653
"244",22588,"A4",444401
"245",23424.5,"A4",450937
"246",24260.9,"A4",460122
"247",25097.4,"A4",462961
"248",25933.9,"A4",471997
"249",26770.4,"A4",477130
"250",27606.8,"A4",482481
"251",28443.3,"A4",486048
"252",29279.8,"A4",491996
"253",30116.3,"A4",498130
"254",30952.8,"A4",499184
"255",31789.2,"A4",508533
"256",32625.7,"A4",509437
"257",33462.2,"A4",516162
"258",34298.6,"A4",518623
"259",35135.1,"A4",522050
"260",35971.6,"A4",523884
"261",36808.1,"A4",521444
"262",37644.5,"A4",524524
"263",38481,"A4",529757
"264",39317.5,"A4",526504
"265",40154,"A4",527080
"266",40990.4,"A4",528269
"267",41826.9,"A4",525752
"268",42663.4,"A4",532899
"269",43499.9,"A4",533283
"270",44336.4,"A4",538085
"271",45172.8,"A4",539734
"272",46009.3,"A4",544285
"273",46845.8,"A4",548028
"274",47682.3,"A4",550610
"275",48518.8,"A4",552361
"276",49355.2,"A4",550856
"277",50191.7,"A4",552052
"278",51028.2,"A4",552337
"279",51864.7,"A4",552104
"280",52701.2,"A4",555195
"281",53537.6,"A4",552089
"282",54374.1,"A4",552903
